                     Data                                   IR                  State   

   Data 0110000000000000000000000000000010000000   00000000001000010000000000100001       x

   Data 0110000000001100000000001010000010000001    00000000001000010000000000100001      X

   Data 0100000100001101100000000000000110000010    00000000001000010000000000100001      X

   Data 1010011000000000000000000000000110000011    00000000001000010000000000100001      X

   Data 000000xxxxxxxxxxxxxxxxxxxxx0000010000100    00000000001000010000000000100001      X

   Data 0100000000110000000000000000000010000110    00000000001000010000000000100001      X

   Data 0110000000001100000000001010000010000001    10100000001000010000000000100001      X

   Data 0100000100001101100000000000000110000010    10100000001000010000000000100001      X

   Data 1010011000000000000000000000000110000011    10100000001000010000000000100001      X

   Data 000000xxxxxxxxxxxxxxxxxxxxx0000010000100    10100000001000010000000000100001      X

   Data 01100000000x0001000000000000000011000011    10100000001000010000000000100001      X

   Data 01100001010x0010000000001000000011000100    10100000001000010000000000100001      X

   Data 01100000110x0011000000000000000011000101    10100000001000010000000000100001      X

   Data 01000000000x0001000000000000000011000110    10100000001000010000000000100001      X

   Data 0110000000001100000000001010000010000001    00010000001000010000000000100001      X

   Data 0100000100001101100000000000000110000010    00010000001000010000000000100001      X

   Data 1010011000000000000000000000000110000011    00010000001000010000000000100001      X

   Data 000000xxxxxxxxxxxxxxxxxxxxx0000010000100    00010000001000010000000000100001      X

   Data 01100000000x0000000000000000000011010000    00010000001000010000000000100001      X

   Data 01000000001x1101000000010010000011010001    00010000001000010000000000100001      X

   Data 0110000000001100000000001010000010000001    xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx      X

